Categories,Importance_Score
fixed_acidity,0.07567754836909238
volatile_acidity,0.09161570443646881
citric_acid,0.08474948775057262
residual_sugar,0.08544614686439711
chlorides,0.09020780376824951
free_sulfur_dioxide,0.07715721829335599
total_sulfur_dioxide,0.09711367849521757
density,0.097545089320466
ph,0.08080942551417791
sulphates,0.08514168066751614
alcohol,0.12933574308596563
color_red,0.0027402423052191914
color_white,0.0024602311293011533
